step_id,recipe_id,step_number,step_text
66193,12046,6,器に盛り、食べやすい大きさにちぎったリーフレタスとミニトマトを添えて出来上がりです。
66755,12046,7,※Ａのバジルパン粉は全体の４割を付着量として栄養価計算しています。
67550,12277,1,食パンの中央に指でくぼみを作り、卵を割り落とします。
67552,12277,2,天板にアルミホイルを敷き、食パンをのせたらオーブントースターで10分ほど焼きます。
67553,12277,3,卵が半熟状に固まり全体に焼き色がついたら、器に盛り、ハーブ入りソルトをかけます。
68316,12394,1,パセリはみじん切りにします。ブロッコリーは小房に分け、レモンはくし形切りにします。
68240,12394,2,いわしは頭と内臓をとってよく洗い手開きにします。余分な水分を拭き取り、両面に塩とこしょうを振ります。
68241,12394,3,ボウルにAの材料を入れ、よく混ぜ合わせます。
68242,12394,4,アルミホイルを敷いた天板に、いわしの皮を下にして並べます。３をのせ、周りにブロッコリーを並べます。
68243,12394,5,オーブントースターで10分ほど焼きます。生焼けの場合は、アルミホイルを被せて様子をみながら追加で焼きます。
69332,12394,6,器にいわし、ブロッコリー、トマト、レモンを盛り付けて出来上がりです。
73750,13441,1,大根は厚さ３mmのいちょう切りにします。しょうがとにんにくはせん切りにします。
73751,13441,2,豚肉は食べやすい大きさに切り、塩を振って下味をつけます。
73752,13441,3,フライパンにサラダ油を弱火で熱し、しょうがとにんにくを香りが出るまで炒めます。
73754,13441,4,豚肉を加えて色が変わるまで炒めたら、大根を加えます。
73755,13441,5,大根が半透明になったら合わせ調味料を加え、全体を軽く混ぜて蓋をします。
73756,13441,6,弱火で５分ほど煮て、大根に竹串がすっと通るくらいやわらかくなったら、蓋を取ります。
89096,13441,7,中火にし、汁けがほぼなくなるまで炒めながら煮たら火を消します。
73757,13441,8,器に盛って青ねぎをのせ、好みで七味とうがらしを振ります。
74055,13500,1,カット野菜とまぐろの刺し身を器に盛り付けます。
74056,13500,2,オリーブ油をまわしかけ、塩とこしょうを振り、レモン汁をかけます。
74050,13502,1,チンゲン菜は長さ４cmに切り、葉と茎に分けます。しいたけとにんにくは薄切りにします。
74549,13502,2,フッ素樹脂加工のフライパンにチンゲン菜の茎を並べ、豚こま肉を広げてのせます。
74550,13502,3,しいたけとにんにく、赤とうがらしをのせて塩を振ります。
89376,13502,4,チンゲン菜の葉ものせ、ごま油を回しかけます。
74049,13502,5,蓋をして中火で７分ほど加熱し、肉に火が通ったら出来上がりです。
78919,14459,1,Aの梅干しは軽くたたき、調味料と混ぜ合わせます。
78920,14459,2,いわしに小麦粉をまぶし、余分な粉をはたきます。
78921,14459,3,フライパンにサラダ油を中火で熱し、いわしの皮目を下にして並べ、きつね色になるまで両面を焼きます。
78922,14459,4,火を消してAを加え、いわしによく絡めます。
78923,14459,5,ボウルにBを入れ、ベビーリーフと手でちぎった焼き海苔を加えてあえます。
78924,14459,6,丼にご飯を盛り、５と４をのせます。
80838,14807,1,氷水を当てたボウルに豚ひき肉とAを入れてよく混ぜます。
80839,14807,2,粘りが出てきたら、冷やしておいたキャベツと玉ねぎ、にらの水分を手でしっかりと絞って加え、さらに混ぜます。
80840,14807,3,餃子の皮のフチに水（分量外）をつけ、２のあんを大さじ１くらいのせます。
80841,14807,4,空気を抜くように皮を半分に折りたたんで包み、真ん中に１つだけひだを作ります。
80842,14807,5,フライパンにごま油を入れ、餃子を立てて並べます。火をつけて中火にします。
80843,14807,6,少し焼いてから、水100ml（分量外、２人分の場合）を入れ、すぐに蓋をします。水分がなくなるまで蒸し焼きにします。
80846,14807,7,たれ用の調味料を混ぜ合わせ、餃子に添えて出来上がりです。
83812,15374,1,ピーマンは縦半分に切り、へたと種を取り、さらに横２〜３等分に切ります。豚肉は４cm幅に切ります。
83813,15374,2,空のフライパンを中火で熱し、ピーマンに焦げ目がつくまで焼き、一度取り出します。
83814,15374,3,フライパンを再び中火で熱し、片栗粉をまぶした豚肉を両面がカリカリになるまで焼きます。
83815,15374,4,弱火にしてフライパンにたまった脂を拭き取り、混ぜ合わせたAを入れて全体に絡めます。
83816,15374,5,火を中火にしてピーマンを戻し入れて、全体を炒め合わせます。器に盛り、好みで七味とうがらしを振ります。
84738,15526,1,しいたけは石づきを落として花切りにし、かまぼこは１cmの厚さに切ります。
84740,15526,2,土鍋にAを入れて中火にかけ、ひと煮立ちしたらうどんを入れて蓋をします。再び煮立ったら弱火にし、３分ほど煮込みます。
84741,15526,3,蓋を開け、ほうれん草は冷凍のまま入れ、真ん中に卵を割り入れます。蓋をし、卵が好みのかたさになるまで加熱します。
84742,15526,4,蓋を開け、えび天とかまぼこをのせて出来上がりです。
84750,15526,5,※栄養価はつゆの全体の1/2量を可食量として計算しています。
86335,15799,1,フッ素樹脂加工のフライパンを中火で熱し、ひき肉を炒め、脂が出てきたら、にんにく、しょうが、ねぎを加え、さらに炒めます。
86336,15799,2,たけのこ、しいたけを加え、油が回るまで炒め、混ぜ合わせたAをからめます。
86337,15799,3,うどんをほぐして器に盛ります。２をかけ、きゅうり、ねぎ（飾り用）、紅しょうがをのせて完成です。
86402,15821,1,豆腐は食べやすい大きさに切ります。ペーパータオルで包み、皿などの重しをおき、30分〜１時間おいて水きりします。
86403,15821,2,片栗粉と小麦粉を１：１で混ぜ合わせ、１にまぶします。170℃の油で、全体が色づくまで揚げます。
86404,15821,3,Aを鍋に入れ、ひと煮立ちさせます。
86405,15821,4,器に２を盛り、３をかけます。大根おろし、しょうがを添え、ねぎを振って完成です。
87807,16043,1,たね用の玉ねぎは耐熱容器に入れます。ラップをせずに電子レンジ（600ｗ）で１分加熱し、粗熱を取ります。
87806,16043,2,豆腐はペーパータオルに包んで耐熱の器にのせ、ラップをせずに電子レンジ（600ｗ）で１分加熱し、水けをきります。
87808,16043,3,パン粉に牛乳を加えてふやかします。トッピング用の玉ねぎは水にさらして水けをきります。
87809,16043,4,ボウルにひき肉、塩、こしょう、ナツメグを加え、粘りが出るまでよく練ります。
87810,16043,5,４のボウルに豆腐をくずしながら加え、玉ねぎ、３のふやかしたパン粉、溶き卵を加えてさらによく練ります。
87811,16043,6,たねを人数分に等分し、両手でキャッチボールをするようにたたいてたねの空気を抜き、小判型に成形します。
87816,16043,7,フライパンにサラダ油を中火で熱し、６を並べて２〜３分焼きます。
87818,16043,8,焼き色が付いたら裏返して弱火にし、蓋をして５分ほど蒸し焼きにします。
87820,16043,9,器にハンバーグを盛り付け、水けをきった玉ねぎ（トッピング用）とブロッコリースプラウトをのせます。
87822,16043,10,ベビーリーフとミニトマトを添え、ぽん酢しょうゆをかけて出来上がりです。
87674,16068,1,めかじきに塩を振って10分ほどおき、ペーパータオルで水けを取ります。小麦粉を薄くまぶします。
87675,16068,2,フライパンを弱めの中火にかけてバターを溶かし、めかじきとにんにくを入れて焼きます。
87676,16068,3,めかじきに焼き色が付いたら裏返し、両面色よく焼きます。火を消してAを加え、予熱で絡めます。
87677,16068,4,器にかじきを盛って粗びき黒こしょうを振り、ベビーリーフを添えます。
